id;name;answer;status;stt;answer_to_choose;transscript
1;bypassing Personal Loan Account;Brunei Darussalam deposit;34896;52138;technologies input;moratorium Innovative orange
2;integrate Optimization;disintermediate;48908;803;customer loyalty access;Incredible Soft Gloves Incredible withdrawal
3;withdrawal;robust payment;30317;8914;Buckinghamshire;Via
4;Sleek Concrete Chips Mill blue;Persevering Saint Martin iterate;36270;98408;Home;Electronics needs-based Games
5;compress Paradigm Handmade Metal Bacon;enable;84288;30200;infomediaries;Coves
6;bluetooth Unbranded Plastic Bike;Small Cotton Ball visionary overriding;48599;87760;AGP;Iranian Rial Gorgeous Uzbekistan Sum
7;bus;enhance Checking Account Plastic;19469;79988;JBOD disintermediate;frictionless
8;Virginia needs-based systems;Developer Burkina Faso;30877;78565;SQL;Table Soft
9;exploit Albania;dot-com Sao Tome and Principe back-end;31078;11395;Gorgeous Soap;Dominican Peso indigo
10;CSS Plastic Practical;digital partnerships Lebanon;79679;32966;enterprise Vermont Games;fuchsia sky blue
