id;name;answer;number_of_answer;status;answer_to_choose;type_file;path_file;transscript
1;Grocery data-warehouse;Generic Fresh Bike Books;49754;83227;bandwidth-monitored Pants;Applications;Grocery Pa'anga;Liaison whiteboard Unbranded
2;deposit support Strategist;Phased Legacy;46801;31381;iterate;next-generation Ergonomic Frozen Sausages;invoice Mouse utilize;Massachusetts
3;extend Forward global;Intuitive circuit;6755;7426;Rest Kids Granite;Officer invoice New Mexico;Courts;content
4;1080p withdrawal infomediaries;Dynamic Bike Optimization;81104;5830;Avon Maine;Berkshire;initiative Public-key Cambridgeshire;deliver Integration
5;Cambridgeshire;synergy;78075;3689;Awesome Frozen Ball;heuristic cyan parsing;Designer program paradigm;virtual Maine
6;intermediate empowering groupware;syndicate Nebraska;49539;46065;Jewelery;Industrial parse;Malaysian Ringgit Corners matrix;invoice Licensed Concrete Mouse Chief
7;Forward;generate;88128;66032;Point Gorgeous Plastic Table;Home Licensed Soft Cheese EXE;Intelligent Cotton Towels;Netherlands Antilles haptic
8;HDD;moderator value-added;60474;17115;payment;solution paradigms Future;AI Unbranded Metal Soap;Buckinghamshire RSS panel
9;Product synthesizing;Computers Comoro Franc architecture;46612;36657;object-oriented;Licensed Concrete cross-platform;multi-byte Isle Corporate;throughput
10;Cambridgeshire Gorgeous Auto Loan Account;SQL Toys;13257;64543;Rustic generating policy;Saint Helena Pound;revolutionize Mauritius Rupee;input quantify Chief
